run_id,seed,document_id,template_id,generation_index,line_index,source_key,line_role,amount_semantics,intentional_repeat,resolved_item_count,name,normalized_name,quantity,amount,amount_field,row_type,excluded_from_product_duplicate_audit,amount_missing_is_error,zero_amount_is_error,duplicate_name_count,duplicate_amount_count,duplicate_triple_count,same_receipt_normalized_name_count,historical_triple_count,triple_signature
v0.4.2,,v0.4.2_001_blogger_v4_logo_style_014_specialty_grocery_seal_square,blogger_v4_logo_style_014_specialty_grocery_seal_square,1,1,items,item,line_total,true,6,玄米おむすび,玄米おむすび,1,360,amount,item,false,false,false,1,3,1,1,0,玄米おむすび|1|360
v0.4.2,,v0.4.2_001_blogger_v4_logo_style_014_specialty_grocery_seal_square,blogger_v4_logo_style_014_specialty_grocery_seal_square,1,2,items,item,line_total,true,6,季節果物パック,季節果物パック,1,1430,amount,item,false,false,false,1,1,1,1,0,季節果物パック|1|1430
v0.4.2,,v0.4.2_001_blogger_v4_logo_style_014_specialty_grocery_seal_square,blogger_v4_logo_style_014_specialty_grocery_seal_square,1,3,items,item,line_total,true,6,地元野菜セット,地元野菜セット,1,370,amount,item,false,false,false,1,4,1,1,0,地元野菜セット|1|370
v0.4.2,,v0.4.2_001_blogger_v4_logo_style_014_specialty_grocery_seal_square,blogger_v4_logo_style_014_specialty_grocery_seal_square,1,4,items,item,line_total,true,6,朝市たまご,朝市たまご,1,880,amount,item,false,false,false,1,2,1,1,0,朝市たまご|1|880
v0.4.2,,v0.4.2_001_blogger_v4_logo_style_014_specialty_grocery_seal_square,blogger_v4_logo_style_014_specialty_grocery_seal_square,1,5,items,item,line_total,true,6,味噌小袋,味噌小袋,1,860,amount,item,false,false,false,1,2,1,1,0,味噌小袋|1|860
v0.4.2,,v0.4.2_001_blogger_v4_logo_style_014_specialty_grocery_seal_square,blogger_v4_logo_style_014_specialty_grocery_seal_square,1,6,items,item,line_total,true,6,だし香る煮物,だし香る煮物,1,1220,amount,item,false,false,false,1,2,1,1,0,だし香る煮物|1|1220
v0.4.2,,v0.4.2_002_blogger_v4_logo_style_015_butcher_shop_heavy_horizontal_brush,blogger_v4_logo_style_015_butcher_shop_heavy_horizontal_brush,2,1,items,item,line_total,true,4,焼肉盛合せ小,焼肉盛合せ小,2,2100,amount,item,false,false,false,2,2,1,1,0,焼肉盛合せ小|2|2100
v0.4.2,,v0.4.2_002_blogger_v4_logo_style_015_butcher_shop_heavy_horizontal_brush,blogger_v4_logo_style_015_butcher_shop_heavy_horizontal_brush,2,2,items,item,line_total,true,4,黒毛和牛切落し,黒毛和牛切落し,1,810,amount,item,false,false,false,2,3,1,1,0,黒毛和牛切落し|1|810
v0.4.2,,v0.4.2_002_blogger_v4_logo_style_015_butcher_shop_heavy_horizontal_brush,blogger_v4_logo_style_015_butcher_shop_heavy_horizontal_brush,2,3,items,item,line_total,true,4,手ごねハンバーグ種,手ごねハンバーグ種,2,220,amount,item,false,false,false,2,6,1,1,0,手ごねハンバーグ種|2|220
v0.4.2,,v0.4.2_002_blogger_v4_logo_style_015_butcher_shop_heavy_horizontal_brush,blogger_v4_logo_style_015_butcher_shop_heavy_horizontal_brush,2,4,items,item,line_total,true,4,国産鶏もも角切り,国産鶏もも角切り,1,1060,amount,item,false,false,false,2,3,1,1,0,国産鶏もも角切り|1|1060
v0.4.2,,v0.4.2_003_blogger_v4_logo_style_019_department_store_english_jp,blogger_v4_logo_style_019_department_store_english_jp,3,1,items,item,line_total,true,5,ギフト包装,ギフト包装,1,930,amount,item,false,false,false,1,3,1,1,0,ギフト包装|1|930
v0.4.2,,v0.4.2_003_blogger_v4_logo_style_019_department_store_english_jp,blogger_v4_logo_style_019_department_store_english_jp,3,2,items,item,line_total,true,5,地下惣菜,地下惣菜,2,2340,amount,item,false,false,false,1,1,1,1,0,地下惣菜|2|2340
v0.4.2,,v0.4.2_003_blogger_v4_logo_style_019_department_store_english_jp,blogger_v4_logo_style_019_department_store_english_jp,3,3,items,item,line_total,true,5,婦人雑貨,婦人雑貨,1,1060,amount,item,false,false,false,1,3,1,1,0,婦人雑貨|1|1060
v0.4.2,,v0.4.2_003_blogger_v4_logo_style_019_department_store_english_jp,blogger_v4_logo_style_019_department_store_english_jp,3,4,items,item,line_total,true,5,手土産菓子,手土産菓子,1,530,amount,item,false,false,false,1,2,1,1,0,手土産菓子|1|530
v0.4.2,,v0.4.2_003_blogger_v4_logo_style_019_department_store_english_jp,blogger_v4_logo_style_019_department_store_english_jp,3,5,items,item,line_total,true,5,配送承り,配送承り,1,850,amount,item,false,false,false,1,5,1,1,0,配送承り|1|850
v0.4.2,,v0.4.2_004_blogger_v4_logo_style_025_home_center_seal_square,blogger_v4_logo_style_025_home_center_seal_square,4,1,items,item,line_total,true,6,木材カット,木材カット,2,2720,amount,item,false,false,false,2,1,1,1,0,木材カット|2|2720
v0.4.2,,v0.4.2_004_blogger_v4_logo_style_025_home_center_seal_square,blogger_v4_logo_style_025_home_center_seal_square,4,2,items,item,line_total,true,6,電池パック,電池パック,1,1380,amount,item,false,false,false,2,3,1,1,0,電池パック|1|1380
v0.4.2,,v0.4.2_004_blogger_v4_logo_style_025_home_center_seal_square,blogger_v4_logo_style_025_home_center_seal_square,4,3,items,item,line_total,true,6,園芸用土,園芸用土,1,330,amount,item,false,false,false,2,3,1,1,0,園芸用土|1|330
v0.4.2,,v0.4.2_004_blogger_v4_logo_style_025_home_center_seal_square,blogger_v4_logo_style_025_home_center_seal_square,4,4,items,item,line_total,true,6,収納ケース,収納ケース,1,1190,amount,item,false,false,false,2,1,1,1,0,収納ケース|1|1190
v0.4.2,,v0.4.2_004_blogger_v4_logo_style_025_home_center_seal_square,blogger_v4_logo_style_025_home_center_seal_square,4,5,items,item,line_total,true,6,掃除シート,掃除シート,1,260,amount,item,false,false,false,1,7,1,1,0,掃除シート|1|260
v0.4.2,,v0.4.2_004_blogger_v4_logo_style_025_home_center_seal_square,blogger_v4_logo_style_025_home_center_seal_square,4,6,items,item,line_total,true,6,万能ビス,万能ビス,1,780,amount,item,false,false,false,2,3,1,1,0,万能ビス|1|780
v0.4.2,,v0.4.2_005_blogger_v4_logo_style_037_grocery_heavy_horizontal_brush,blogger_v4_logo_style_037_grocery_heavy_horizontal_brush,5,1,items,item,line_total,true,4,冷蔵餃子,冷蔵餃子,1,660,amount,item,false,false,false,1,3,1,1,0,冷蔵餃子|1|660
v0.4.2,,v0.4.2_005_blogger_v4_logo_style_037_grocery_heavy_horizontal_brush,blogger_v4_logo_style_037_grocery_heavy_horizontal_brush,5,2,items,item,line_total,true,4,北海道牛乳,北海道牛乳,1,420,amount,item,false,false,false,1,4,1,1,0,北海道牛乳|1|420
v0.4.2,,v0.4.2_005_blogger_v4_logo_style_037_grocery_heavy_horizontal_brush,blogger_v4_logo_style_037_grocery_heavy_horizontal_brush,5,3,items,item,line_total,true,4,食パン6枚,食パン6枚,1,950,amount,item,false,false,false,1,3,1,1,0,食パン6枚|1|950
v0.4.2,,v0.4.2_005_blogger_v4_logo_style_037_grocery_heavy_horizontal_brush,blogger_v4_logo_style_037_grocery_heavy_horizontal_brush,5,4,items,item,line_total,true,4,ヨーグルト4個,ヨーグルト4個,1,1240,amount,item,false,false,false,1,5,1,1,0,ヨーグルト4個|1|1240
v0.4.2,,v0.4.2_006_blogger_v4_logo_style_039_butcher_shop_side_icons,blogger_v4_logo_style_039_butcher_shop_side_icons,6,1,items,item,line_total,true,5,豚バラしゃぶ用,豚バラしゃぶ用,1,150,amount,item,false,false,false,1,10,1,1,0,豚バラしゃぶ用|1|150
v0.4.2,,v0.4.2_006_blogger_v4_logo_style_039_butcher_shop_side_icons,blogger_v4_logo_style_039_butcher_shop_side_icons,6,2,items,item,line_total,true,5,鶏つくね串,鶏つくね串,1,1170,amount,item,false,false,false,1,1,1,1,0,鶏つくね串|1|1170
v0.4.2,,v0.4.2_006_blogger_v4_logo_style_039_butcher_shop_side_icons,blogger_v4_logo_style_039_butcher_shop_side_icons,6,3,items,item,line_total,true,5,味付けホルモン,味付けホルモン,2,2080,amount,item,false,false,false,1,3,1,1,0,味付けホルモン|2|2080
v0.4.2,,v0.4.2_006_blogger_v4_logo_style_039_butcher_shop_side_icons,blogger_v4_logo_style_039_butcher_shop_side_icons,6,4,items,item,line_total,true,5,和牛すき焼き用,和牛すき焼き用,1,560,amount,item,false,false,false,1,2,1,1,0,和牛すき焼き用|1|560
v0.4.2,,v0.4.2_006_blogger_v4_logo_style_039_butcher_shop_side_icons,blogger_v4_logo_style_039_butcher_shop_side_icons,6,5,items,item,line_total,true,5,精肉店メンチ,精肉店メンチ,1,600,amount,item,false,false,false,1,3,1,1,0,精肉店メンチ|1|600
v0.4.2,,v0.4.2_007_blogger_v4_logo_style_041_cafe_horizontal_brush,blogger_v4_logo_style_041_cafe_horizontal_brush,7,1,items,item,line_total,true,6,カフェラテ,カフェラテ,1,150,amount,item,false,false,false,2,10,1,1,0,カフェラテ|1|150
v0.4.2,,v0.4.2_007_blogger_v4_logo_style_041_cafe_horizontal_brush,blogger_v4_logo_style_041_cafe_horizontal_brush,7,2,items,item,line_total,true,6,焼き菓子袋,焼き菓子袋,1,600,amount,item,false,false,false,1,3,1,1,0,焼き菓子袋|1|600
v0.4.2,,v0.4.2_007_blogger_v4_logo_style_041_cafe_horizontal_brush,blogger_v4_logo_style_041_cafe_horizontal_brush,7,3,items,item,line_total,true,6,ブレンドコーヒー,ブレンドコーヒー,2,2100,amount,item,false,false,false,2,2,1,1,0,ブレンドコーヒー|2|2100
v0.4.2,,v0.4.2_007_blogger_v4_logo_style_041_cafe_horizontal_brush,blogger_v4_logo_style_041_cafe_horizontal_brush,7,4,items,item,line_total,true,6,ミニサラダ,ミニサラダ,1,1270,amount,item,false,false,false,1,1,1,1,0,ミニサラダ|1|1270
v0.4.2,,v0.4.2_007_blogger_v4_logo_style_041_cafe_horizontal_brush,blogger_v4_logo_style_041_cafe_horizontal_brush,7,5,items,item,line_total,true,6,モーニングセット,モーニングセット,1,920,amount,item,false,false,false,1,2,1,1,0,モーニングセット|1|920
v0.4.2,,v0.4.2_007_blogger_v4_logo_style_041_cafe_horizontal_brush,blogger_v4_logo_style_041_cafe_horizontal_brush,7,6,items,item,line_total,true,6,厚切りトースト,厚切りトースト,1,1020,amount,item,false,false,false,1,3,1,1,0,厚切りトースト|1|1020
v0.4.2,,v0.4.2_008_blogger_v4_logo_style_047_apparel_english_jp,blogger_v4_logo_style_047_apparel_english_jp,8,1,items,item,line_total,true,4,ワイドパンツ,ワイドパンツ,1,510,amount,item,false,false,false,1,6,1,1,0,ワイドパンツ|1|510
v0.4.2,,v0.4.2_008_blogger_v4_logo_style_047_apparel_english_jp,blogger_v4_logo_style_047_apparel_english_jp,8,2,items,item,line_total,true,4,値引セール,値引セール,1,650,amount,item,false,false,false,1,4,1,1,0,値引セール|1|650
v0.4.2,,v0.4.2_008_blogger_v4_logo_style_047_apparel_english_jp,blogger_v4_logo_style_047_apparel_english_jp,8,3,items,item,line_total,true,4,リネン帽子,リネン帽子,2,2060,amount,item,false,false,false,1,1,1,1,0,リネン帽子|2|2060
v0.4.2,,v0.4.2_008_blogger_v4_logo_style_047_apparel_english_jp,blogger_v4_logo_style_047_apparel_english_jp,8,4,items,item,line_total,true,4,半袖シャツ,半袖シャツ,1,160,amount,item,false,false,false,1,3,1,1,0,半袖シャツ|1|160
v0.4.2,,v0.4.2_009_blogger_v4_logo_style_049_leisure_ticket_seal_square,blogger_v4_logo_style_049_leisure_ticket_seal_square,9,1,items,item,line_total,true,6,音声ガイド,音声ガイド,1,460,amount,item,false,false,false,1,2,1,1,0,音声ガイド|1|460
v0.4.2,,v0.4.2_009_blogger_v4_logo_style_049_leisure_ticket_seal_square,blogger_v4_logo_style_049_leisure_ticket_seal_square,9,2,items,item,line_total,true,6,体験チケット,体験チケット,1,550,amount,item,false,false,false,1,2,1,1,0,体験チケット|1|550
v0.4.2,,v0.4.2_009_blogger_v4_logo_style_049_leisure_ticket_seal_square,blogger_v4_logo_style_049_leisure_ticket_seal_square,9,3,items,item,line_total,true,6,記念カード,記念カード,2,200,amount,item,false,false,false,1,5,1,1,0,記念カード|2|200
v0.4.2,,v0.4.2_009_blogger_v4_logo_style_049_leisure_ticket_seal_square,blogger_v4_logo_style_049_leisure_ticket_seal_square,9,4,items,item,line_total,true,6,入館料 大人,入館料大人,1,110,amount,item,false,false,false,1,11,1,1,0,入館料大人|1|110
v0.4.2,,v0.4.2_009_blogger_v4_logo_style_049_leisure_ticket_seal_square,blogger_v4_logo_style_049_leisure_ticket_seal_square,9,5,items,item,line_total,true,6,パンフレット,パンフレット,1,1240,amount,item,false,false,false,1,5,1,1,0,パンフレット|1|1240
v0.4.2,,v0.4.2_009_blogger_v4_logo_style_049_leisure_ticket_seal_square,blogger_v4_logo_style_049_leisure_ticket_seal_square,9,6,items,item,line_total,true,6,企画展示券,企画展示券,1,1450,amount,item,false,false,false,1,1,1,1,0,企画展示券|1|1450
v0.4.2,,v0.4.2_010_blogger_v4_logo_style_050_sweets_shop_ink_enso_brush,blogger_v4_logo_style_050_sweets_shop_ink_enso_brush,10,1,items,item,line_total,true,5,抹茶まんじゅう,抹茶まんじゅう,1,900,amount,item,false,false,false,4,6,1,1,0,抹茶まんじゅう|1|900
v0.4.2,,v0.4.2_010_blogger_v4_logo_style_050_sweets_shop_ink_enso_brush,blogger_v4_logo_style_050_sweets_shop_ink_enso_brush,10,2,items,item,line_total,true,5,栗最中,栗最中,1,1070,amount,item,false,false,false,1,1,1,1,0,栗最中|1|1070
v0.4.2,,v0.4.2_010_blogger_v4_logo_style_050_sweets_shop_ink_enso_brush,blogger_v4_logo_style_050_sweets_shop_ink_enso_brush,10,3,items,item,line_total,true,5,季節の羊羹,季節の羊羹,1,960,amount,item,false,false,false,6,5,1,1,0,季節の羊羹|1|960
v0.4.2,,v0.4.2_010_blogger_v4_logo_style_050_sweets_shop_ink_enso_brush,blogger_v4_logo_style_050_sweets_shop_ink_enso_brush,10,4,items,item,line_total,true,5,豆大福,豆大福,2,1940,amount,item,false,false,false,6,1,1,1,0,豆大福|2|1940
v0.4.2,,v0.4.2_010_blogger_v4_logo_style_050_sweets_shop_ink_enso_brush,blogger_v4_logo_style_050_sweets_shop_ink_enso_brush,10,5,items,item,line_total,true,5,干菓子小袋,干菓子小袋,1,1060,amount,item,false,false,false,1,3,1,1,0,干菓子小袋|1|1060
v0.4.2,,v0.4.2_011_reference_style_airport_credit_pair_receipt,reference_style_airport_credit_pair_receipt,11,1,items,item,line_total,true,2,搭乗前サンド,搭乗前サンド,1,670,amount,,false,false,false,1,1,1,1,1,搭乗前サンド|1|670
